timestamp,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,sa,sb,sc,sd,tx-voltage,timer1,timer2
1000,76,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,0,0
1004,77,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,4,0
1008,77,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,8,0
1012,77,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,12,0
1016,78,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,16,0
1020,79,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,20,0
1024,80,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,24,0
1028,80,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,28,0
1032,81,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,32,0
1036,81,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,36,0
1040,80,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,40,0
1044,80,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,44,0
1048,79,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,48,0
1052,79,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,52,0
1056,78,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,56,0
1060,78,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,8.4,60,0
